Story_ID,Title,User_Story,Functional_Requirements,Non_Functional_Requirements,Integrations,Dependencies,Constraints,Acceptance_Criteria,Priority,Status,Vision_Ref,Wireframe_Ref,Notes,Sprint_ID,Execution_Status,Execution_Started_At,Execution_Completed_At,Last_Event,Last_Updated
WF-006,Leave Calendar View UI,"As an HR manager, I want a visual calendar for leave planning.",Calendar grid; Event markers for leaves; Filter dropdowns,Responsive; Touch-friendly for Mac trackpad,,STYLE-001,,1. HTML calendar with Tailwind per STYLE-001; 2. Event styling; 3. Responsive; 4. Filters accessible,Medium,Backlog,KEY FEATURES: Leave / absence management,wf-006-leave-calendar,UI for US-006,,,,,,
US-007,Upload Document,"As an HR manager, I want to upload documents for employees so that contracts and policies are stored securely.","File upload form; Associate with employee; Supported formats (PDF, DOC); Store securely",File size limit 10MB; Secure storage,Local file system or database blob,US-001,GDPR compliance (access controls),1. Select and upload file; 2. Associates with profile; 3. Stores without corruption; 4. Access restricted,High,Backlog,"KEY FEATURES: Document storage (secure upload and access for contracts, policies, and compliance docs)",wf-007-document-upload,Starts document storage MVP,,,,,,
WF-007,Document Upload UI,"As an HR manager, I want a simple interface to upload employee documents.",File input; Employee selector; Upload button,Drag-and-drop support; Responsive,,STYLE-001,,1. HTML file input with Tailwind per STYLE-001; 2. Selector dropdown; 3. Responsive; 4. Progress indicator placeholder,Medium,Backlog,KEY FEATURES: Document storage,wf-007-document-upload,UI for US-007,,,,,,
NFR-003,Secure Document Storage,"As a system administrator, I want secure storage and access for uploaded documents to protect sensitive information.",,Encryption at rest; Role-based access; Audit logs for uploads/views,Local storage with encryption,US-007,GDPR (deletion and export options),1. Files encrypted on upload; 2. Access only to authorized users; 3. Logs track actions; 4. Export/delete functional,High,Backlog,CONSTRAINTS: GDPR compliance essentials,,Protects document data in MVP,,,,,,
US-008,View Employee Documents,"As an HR manager, I want to view and download employee documents so that I can access contracts and policies when needed.",List of documents associated with employee; View/download buttons; Preview for supported formats,Secure access (HR only); Load time <2s,Local file system or database blob,"US-007, US-001","GDPR compliance (access logging, no unauthorized views)",1. Select employee; 2. List shows documents; 3. Download works without corruption; 4. Unauthorized access blocked,High,Backlog,"KEY FEATURES: Document storage (secure upload and access for contracts, policies, and compliance docs)",wf-008-view-documents,Completes access functionality for document storage MVP,,,,,,
WF-008,View Employee Documents UI,"As an HR manager, I want an interface to browse and access employee documents.",Employee selector; Document list with preview/download links; Responsive table,Accessible list; Responsive design,,STYLE-001,,1. HTML renders selector and table with Tailwind per STYLE-001; 2. Buttons/links for actions; 3. Mobile responsive; 4. ARIA labels for accessibility,Medium,Backlog,KEY FEATURES: Document storage,wf-008-view-documents,UI for US-008,,,,,,
US-009,User Authentication,"As a user, I want to log in to the system so that I can access my personalized HR features securely.",Login form with email/password; Role-based session (HR/Employee); Logout functionality,Secure authentication (hashed passwords); Session timeout after 30min inactivity,Database for user credentials,NFR-002,GDPR compliance (no plain text passwords),1. Valid credentials grant access; 2. Invalid login shows error; 3. Role determines visible features; 4. Logout clears session,High,Backlog,CONSTRAINTS: Secure access implied in all features,wf-009-login,Foundational security for MVP; Enables role-based access,SP-001,planned,,,,2025-11-14T15:22:49.685482
WF-009,User Login UI,"As a user, I want a simple login interface to access the app.",Email and password inputs; Submit button; Error message display,Responsive; Accessibility (focus management),,STYLE-001,,1. HTML form with Tailwind per STYLE-001; 2. Inputs labeled and secure (type=password); 3. Responsive on all devices; 4. Error states styled,Medium,Backlog,CONSTRAINTS: Secure access,wf-009-login,UI for US-009,,,,,,
NFR-004,Role-Based Access Control,"As a system administrator, I want role-based access so that users see only appropriate features and data.",,Enforce HR vs Employee permissions; Audit unauthorized attempts; Scalable to future roles,Session management from US-009,US-009,GDPR (least privilege principle),1. Employees can't access HR views; 2. HR can access all; 3. Permissions checked on each page load; 4. Logs unauthorized access,High,Backlog,CONSTRAINTS: GDPR compliance essentials,,"Supports secure, differentiated user experiences in MVP",SP-001,planned,,,,2025-11-14T08:26:31.665842
US-010,View Own Leave Requests,"As an employee, I want to view my own leave requests so that I can track their status.",List of personal requests with status (pending/approved/rejected); Details on each,Secure (own data only); Response time <2s,Database for leave records,"US-003, US-009",GDPR (personal data access),1. Employee logs in; 2. Sees only own requests; 3. Statuses accurate; 4. No access to others' data,High,Backlog,KEY FEATURES: Leave / absence management (self-service implied),wf-010-view-own-leaves,Enhances employee self-service for leave tracking,,,,,,
WF-010,View Own Leave Requests UI,"As an employee, I want a dashboard for my leave history.","Table of requests with dates, types, status; Details modal or expand",Responsive; Accessibility,,STYLE-001,,1. HTML table with Tailwind per STYLE-001; 2. Status badges styled; 3. Mobile responsive; 4. ARIA for table navigation,Medium,Backlog,KEY FEATURES: Leave / absence management,wf-010-view-own-leaves,UI for US-010,,,,,,
US-011,Employee Self-Service Profile Update,"As an employee, I want to update my own profile details so that I can keep my contact information current without HR intervention.","Edit form pre-populated with current personal data; Editable fields: email, phone, address; Validation and save to database with HR notification","Secure updates (audit trail, employee-only access); Response time <1s on submit",Database for employee data,"US-001, US-009","GDPR compliance (change logging, data minimization)",1. Employee logs in and accesses own profile; 2. Form loads with existing editable data; 3. Updates save and HR is notified; 4. Invalid inputs show errors; 5. Changes reflect in directory search,High,Backlog,"KEY FEATURES: Employee directory (basic profiles with contact info, searchable and updatable)",wf-011-employee-self-update,"Fills gap in employee self-service for profile updates, aligning with Vision's updatable profiles",,,,,,
WF-011,Employee Self-Service Profile Update UI,"As an employee, I want a user-friendly form to edit my own profile information.","Pre-filled form inputs for editable fields (email, phone, address); Save and cancel buttons; Success message with notification info","Responsive design; Accessibility (labels, ARIA for inputs)",,STYLE-001,,1. HTML renders editable form with Tailwind styling per STYLE-001; 2. Fields labeled and accessible; 3. Responsive on mobile; 4. Save/cancel buttons styled; 5. Success message displays correctly,Medium,Backlog,KEY FEATURES: Employee directory,wf-011-employee-self-update,"UI for US-011, consistent with other profile forms",,,,,,
NFR-005,Local Mac Environment Setup,"As a developer, I want a simple local setup for the Mac so that I can run the app easily without external dependencies.",,"Run entirely locally on macOS (Ventura+); Use SQLite as lightweight, file-based DB; Node.js v18+ backend with Express; React frontend on localhost (ports 3000 for frontend, 3001 for backend); Include npm scripts in package.json: ""start"" (runs npm install if needed, starts backend via ""npm run dev:backend"" and frontend via ""npm run dev:frontend"" in parallel using concurrently); ""stop"" (kills Node processes on ports 3000/3001 using cross-platform tools like kill-port).",Local SQLite DB; npm/yarn for deps.,None (foundational),"Mac-compatible setup (e.g., Homebrew for Node); Cross-platform portability (relative paths); Budget under $5K.","1. ""npm run start"" launches the full app on Mac (backend on 3001, frontend on 3000); 2. All data persists in local SQLite file; 3. ""npm run stop"" cleanly terminates processes; 4. Setup completes with local resources only; 5. Tests pass locally (e.g., Jest smoke test after start).",High,Backlog,"CONSTRAINTS: Local run on Mac, SQLite",,"Enforces lightweight MVP; npm scripts enable simple command-line invocation (e.g., npm start/stop).",SP-001,planned,,,,2025-11-14T15:22:49.685496
