"Story_ID","Title","User_Story","Functional_Requirements","Non_Functional_Requirements","Integrations","Dependencies","Constraints","Acceptance_Criteria","Priority","Status","Vision_Ref","Wireframe_Ref","Notes","Sprint_ID","Execution_Status","Execution_Started_At","Execution_Completed_At","Last_Event","Last_Updated"
"WF-004","Update Employee Profile UI","As a user, I want an editable form for updating employee details.","Pre-filled form inputs; Edit and cancel buttons; Confirmation message","Responsive; Accessibility features","","STYLE-001","","1. HTML renders editable form with Tailwind per STYLE-001; 2. Buttons for save/cancel; 3. Responsive design; 4. ARIA labels for inputs","Medium","Backlog","KEY FEATURES: Employee directory","wf-004-update-employee","UI for US-004","","","","","",""
"US-005","Approve Leave Request","As an HR manager, I want to approve or reject leave requests so that I can manage employee absences effectively.","List of pending requests; Approve/reject buttons with optional comments; Update status and notify employee","Secure access (HR only); Response time <2s","Database for leave records; Email simulation","US-003","GDPR for handling personal data","1. HR views pending requests; 2. Approves/rejects with comment; 3. Status updates; 4. Notification sent","High","In Sprint","KEY FEATURES: Leave / absence management (request submission, approval workflows)","wf-005-approve-leave","Fills gap in approval workflows","SP-003","completed","2025-11-29T17:04:37.434561","2025-11-29T17:07:26.948458","story_completed","2025-11-29T17:07:26.948458"
"WF-005","Leave Request Approval UI","As an HR manager, I want a dashboard to review and act on leave requests.","Table of requests with details; Action buttons for approve/reject; Comment textarea","Responsive table; Accessibility","","STYLE-001","","1. HTML table with Tailwind per STYLE-001; 2. Buttons and textarea rendered; 3. Mobile responsive; 4. ARIA for actions","Medium","Backlog","KEY FEATURES: Leave / absence management","wf-005-approve-leave","UI for US-005","","","","","",""
"US-006","View Leave Calendar","As an HR manager, I want a calendar view of employee leaves so that I can oversee absences at a glance.","Calendar display showing approved leaves; Filter by employee or type; Monthly/weekly views","Load time <3s; Secure (login required)","Database for leave data","US-003, US-005","GDPR (no sensitive details in view)","1. Calendar loads with leave events; 2. Filters work; 3. Views switch correctly; 4. No unauthorized access","High","Backlog","KEY FEATURES: Leave / absence management (calendar views for oversight)","wf-006-leave-calendar","Provides oversight functionality","","","","","",""
"WF-006","Leave Calendar View UI","As an HR manager, I want a visual calendar for leave planning.","Calendar grid; Event markers for leaves; Filter dropdowns","Responsive; Touch-friendly for Mac trackpad","","STYLE-001","","1. HTML calendar with Tailwind per STYLE-001; 2. Event styling; 3. Responsive; 4. Filters accessible","Medium","Backlog","KEY FEATURES: Leave / absence management","wf-006-leave-calendar","UI for US-006","","","","","",""
"US-007","Upload Document","As an HR manager, I want to upload documents for employees so that contracts and policies are stored securely.","File upload form; Associate with employee; Supported formats (PDF, DOC); Store securely","File size limit 10MB; Secure storage","Local file system or database blob","US-001","GDPR compliance (access controls)","1. Select and upload file; 2. Associates with profile; 3. Stores without corruption; 4. Access restricted","High","Backlog","KEY FEATURES: Document storage (secure upload and access for contracts, policies, and compliance docs)","wf-007-document-upload","Starts document storage MVP","","","","","",""
"WF-007","Document Upload UI","As an HR manager, I want a simple interface to upload employee documents.","File input; Employee selector; Upload button","Drag-and-drop support; Responsive","","STYLE-001","","1. HTML file input with Tailwind per STYLE-001; 2. Selector dropdown; 3. Responsive; 4. Progress indicator placeholder","Medium","Backlog","KEY FEATURES: Document storage","wf-007-document-upload","UI for US-007","","","","","",""
"NFR-003","Secure Document Storage","As a system administrator, I want secure storage and access for uploaded documents to protect sensitive information.","","Encryption at rest; Role-based access; Audit logs for uploads/views","Local storage with encryption","US-007","GDPR (deletion and export options)","1. Files encrypted on upload; 2. Access only to authorized users; 3. Logs track actions; 4. Export/delete functional","High","Backlog","CONSTRAINTS: GDPR compliance essentials","","Protects document data in MVP","","","","","",""
"US-008","View Employee Documents","As an HR manager, I want to view and download employee documents so that I can access contracts and policies when needed.","List of documents associated with employee; View/download buttons; Preview for supported formats","Secure access (HR only); Load time <2s","Local file system or database blob","US-007, US-001","GDPR compliance (access logging, no unauthorized views)","1. Select employee; 2. List shows documents; 3. Download works without corruption; 4. Unauthorized access blocked","High","Backlog","KEY FEATURES: Document storage (secure upload and access for contracts, policies, and compliance docs)","wf-008-view-documents","Completes access functionality for document storage MVP","","","","","",""
"WF-008","View Employee Documents UI","As an HR manager, I want an interface to browse and access employee documents.","Employee selector; Document list with preview/download links; Responsive table","Accessible list; Responsive design","","STYLE-001","","1. HTML renders selector and table with Tailwind per STYLE-001; 2. Buttons/links for actions; 3. Mobile responsive; 4. ARIA labels for accessibility","Medium","Backlog","KEY FEATURES: Document storage","wf-008-view-documents","UI for US-008","","","","","",""
"US-009","User Authentication","As a user, I want to log in to the system so that I can access my personalized HR features securely.","Login form with email/password; Role-based session (HR/Employee); Logout functionality","Secure authentication (hashed passwords); Session timeout after 30min inactivity","Database for user credentials","NFR-002","GDPR compliance (no plain text passwords)","1. Valid credentials grant access; 2. Invalid login shows error; 3. Role determines visible features; 4. Logout clears session","High","Backlog","CONSTRAINTS: Secure access implied in all features","wf-009-login","Foundational security for MVP; Enables role-based access","SP-001","completed","2025-11-29T15:42:31.883267","2025-11-29T15:45:00.953499","story_completed","2025-11-29T15:45:00.953499"
"WF-009","User Login UI","As a user, I want a simple login interface to access the app.","Email and password inputs; Submit button; Error message display","Responsive; Accessibility (focus management)","","STYLE-001","","1. HTML form with Tailwind per STYLE-001; 2. Inputs labeled and secure (type=password); 3. Responsive on all devices; 4. Error states styled","Medium","Backlog","CONSTRAINTS: Secure access","wf-009-login","UI for US-009","","","","","",""
"NFR-004","Role-Based Access Control","As a system administrator, I want role-based access so that users see only appropriate features and data.","","Enforce HR vs Employee permissions; Audit unauthorized attempts; Scalable to future roles","Session management from US-009","US-009","GDPR (least privilege principle)","1. Employees can't access HR views; 2. HR can access all; 3. Permissions checked on each page load; 4. Logs unauthorized access","High","Backlog","CONSTRAINTS: GDPR compliance essentials","","Supports secure, differentiated user experiences in MVP","SP-001","planned","","","","2025-11-14T08:26:31.665842"
"US-010","View Own Leave Requests","As an employee, I want to view my own leave requests so that I can track their status.","List of personal requests with status (pending/approved/rejected); Details on each","Secure (own data only); Response time <2s","Database for leave records","US-003, US-009","GDPR (personal data access)","1. Employee logs in; 2. Sees only own requests; 3. Statuses accurate; 4. No access to others' data","High","Backlog","KEY FEATURES: Leave / absence management (self-service implied)","wf-010-view-own-leaves","Enhances employee self-service for leave tracking","","","","","",""
"WF-010","View Own Leave Requests UI","As an employee, I want a dashboard for my leave history.","Table of requests with dates, types, status; Details modal or expand","Responsive; Accessibility","","STYLE-001","","1. HTML table with Tailwind per STYLE-001; 2. Status badges styled; 3. Mobile responsive; 4. ARIA for table navigation","Medium","Backlog","KEY FEATURES: Leave / absence management","wf-010-view-own-leaves","UI for US-010","","","","","",""
"US-011","Employee Self-Service Profile Update","As an employee, I want to update my own profile details so that I can keep my contact information current without HR intervention.","Edit form pre-populated with current personal data; Editable fields: email, phone, address; Validation and save to database with HR notification","Secure updates (audit trail, employee-only access); Response time <1s on submit","Database for employee data","US-001, US-009","GDPR compliance (change logging, data minimization)","1. Employee logs in and accesses own profile; 2. Form loads with existing editable data; 3. Updates save and HR is notified; 4. Invalid inputs show errors; 5. Changes reflect in directory search","High","Backlog","KEY FEATURES: Employee directory (basic profiles with contact info, searchable and updatable)","wf-011-employee-self-update","Fills gap in employee self-service for profile updates, aligning with Vision's updatable profiles","","","","","",""
"WF-011","Employee Self-Service Profile Update UI","As an employee, I want a user-friendly form to edit my own profile information.","Pre-filled form inputs for editable fields (email, phone, address); Save and cancel buttons; Success message with notification info","Responsive design; Accessibility (labels, ARIA for inputs)","","STYLE-001","","1. HTML renders editable form with Tailwind styling per STYLE-001; 2. Fields labeled and accessible; 3. Responsive on mobile; 4. Save/cancel buttons styled; 5. Success message displays correctly","Low","Backlog","KEY FEATURES: Employee directory","wf-011-employee-self-update","UI for US-011, consistent with other profile forms","","","","","",""
"NFR-001","Local Mac Environment Setup","As a developer, I want a simple local setup for the Mac so that I can run the app easily without external dependencies.","Not specified","Platform: Mac local (Ventura+), web-based (localhost access only in MVP); Backend framework and version: Node.js v18+ with Express (handles API endpoints and serves static frontend files); Frontend approach: Plain HTML/CSS/JS served by Express from /public (NO React/Vue for MVP—keeps it lightweight and fast to develop); Database: SQLite via sqlite3 npm package (v5.1+) (file-based DB stored in the project directory, ./data.sqlite for production; :memory: for tests when NODE_ENV=test—no server setup required); Use sqlite3 package (NOT better-sqlite3); Callback-based API: db.run(), db.get(), db.all() with callback functions; Pattern: Wrap all database callbacks in Promises for async/await compatibility, e.g., new Promise((resolve, reject) => { db.run(sql, params, (err) => { if (err) reject(err); else resolve(); }); }); Server Port: Single port 3000 (backend and static frontend both served from http://localhost:3000 for simplicity); Test framework: Node.js native test runner (node --test) (NO Jest, Mocha, or other frameworks); Development: npm scripts in package.json: 'start': starts the Express server (backend + static files) on port 3000; 'test': NODE_ENV=test node --test (runs Node.js native tests with in-memory database); Full setup: `npm install` for dependencies (Node.js via Homebrew or nvm); use .env for config (e.g., PORT=3000, DB_PATH=./data.sqlite); Seeding: On first run, seed test data via backend script: 1 admin user (admin@test.com / Password123! hashed with bcrypt), 5 sample employee records; Code patterns: Use async/await for all async operations; try/catch for error handling in all endpoints; Cross-platform portability: relative paths only; minimal native modules; Mac-Specific Notes: Install Node.js (v18+) via Homebrew (`brew install node`); Ensure DB file writable; test on M1/M2 (arm64 compatible); Allow localhost:3000 in firewall if prompted; README.md with steps: '1. Install Node. 2. Clone repo. 3. npm install. 4. npm start. Access: http://localhost:3000.'; Testing: Smoke tests via Node.js native test runner (npm test executes `node --test`—no external frameworks like Jest for MVP); Portability & Gotchas: Relative paths only; minimal native modules for cross-platform ease; Gitignore .env and DB file for security; Budget constraints: Total pilot budget under $5K, focusing on local development to avoid hosting fees initially.","Local SQLite DB; npm for dependencies","None (foundational)","Mac-compatible setup; Cross-platform portability; Budget under $5K; No external frameworks like Jest for MVP","1. npm install completes with dependencies; 2. npm start launches Express server on port 3000 with static files served; 3. Access http://localhost:3000 loads the app; 4. Database file ./data.sqlite is created and seeded with admin user and sample employees; 5. npm test runs Node.js native tests successfully with in-memory DB; 6. All async operations use async/await and try/catch; 7. Setup works on macOS Ventura+ without external services.","High","Backlog","CONSTRAINTS: Local run on Mac, SQLite; TECHNICAL STACK","","Enforces lightweight MVP; Aligns exactly with Vision technical stack; Foundational for all stories.","SP-001","planned","","","",""
"US-012","Onboarding Checklist","As an HR manager, I want an onboarding checklist for new hires so that I can track required steps and ensure smooth integration.","BACKEND: GET/POST /api/onboarding/:employeeId endpoints for checklist items (e.g., document submission, training completion); Database schema for checklists linked to employees; Mark items as complete with timestamps. FRONTEND: Checklist page with employee selector, list of steps (e.g., 'Submit contract', 'Complete training'), checkboxes for completion, progress bar; Role-based (HR view all, employee view own). TEST DATA: Seed 3 sample onboarding checklists with steps for testing.","Response time <2s; Secure access (login required); GDPR compliant (employee data access controls)","Database for employee and checklist data","US-002 (add employee), US-009 (auth)","MVP: Local simulation of notifications for completions","1. HR creates/adds checklist for new employee; 2. Steps display with completion status; 3. Mark complete updates DB and shows progress; 4. Employee can view own checklist; 5. Unauthorized access blocked","Medium","Backlog","Nice-to-Haves: Onboarding checklist for new hires (step-by-step guides and task tracking)","","Enhances new hire process; Suggest creating WF-012 for UI if needed","","","","","",""
"US-013","Simple Performance Review Tracking","As an HR manager, I want to track performance reviews for employees so that I can schedule and record basic evaluations.","BACKEND: GET/POST /api/reviews/:employeeId for review templates and submissions; Database for review records (date, rating, notes); Reminder logic (e.g., annual trigger). FRONTEND: Review dashboard with employee list, schedule review button, template form (questions, ratings 1-5, comments); View past reviews. TEST DATA: Seed 2 sample review templates and 1 completed review.","Load time <3s; Secure (HR only for scheduling, employee view own); GDPR (anonymize notes if needed)","Database for employee and review data","US-001 (employee directory), US-009 (auth)","MVP: Basic templates only, no advanced analytics","1. HR schedules review for employee; 2. Template loads for completion; 3. Submits and saves to DB; 4. Dashboard shows scheduled/upcoming reviews; 5. Employee views own past reviews","Medium","Backlog","Nice-to-Haves: Simple performance review tracking (basic templates and reminders)","","Supports basic performance management; Suggest WF-013 for UI","","","","","",""
"US-014","Email Notifications for Leave Approvals","As an HR manager and employee, I want email notifications for leave approvals and key updates so that I stay informed without logging in constantly.","BACKEND: On approval (from US-005), trigger simulated email (log to console/file in MVP); POST /api/notifications for sending; Templates for approval/rejection. FRONTEND: Notification preferences page (opt-in for types); Success message after approval showing 'email sent'. MVP: Simulate with logs, prepare for real email (nodemailer) later. TEST DATA: Use seeded admin and employee for simulation.","Secure (no sensitive data in emails); Delivery simulation <1s; GDPR (consent for notifications)","Email simulation via console/logs; Future: nodemailer","US-005 (approve leave), US-009 (auth)","MVP: No real email sending; Local simulation only","1. On leave approval, simulation logs 'email sent' to employee; 2. HR sees confirmation; 3. Employee can toggle notifications; 4. No real emails sent in MVP; 5. Logs verifiable in tests","Medium","Backlog","Nice-to-Haves: Email notifications for leave approvals and key updates","","Extends leave workflow with comms; Real email post-MVP","","","","","",""
